Authors,Author,Year,Journal,DOI,Link,Abstract,Keywords,Num
Sheu C.; Yen H.R.; Chae B.,"Sheu, Chwen (35608988300); Yen, HsiuJu Rebecca (8562050700); Chae, Bongsug (56213681300)",2006,International Journal of Operations and Production Management,10.1108/01443570610637003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-31644442695&doi=10.1108%2f01443570610637003&partnerID=40&md5=1879a74d6386f917dcb2a3e031299145,"Purpose - This paper aims to increase the understanding of social and technical factors contributing to successful supplier-retailer collaboration. The objective is to identify the necessary supply chain architecture for supplier-retailer collaboration, and demonstrate how it influences supply chain performance. Design/methodology/approach - Five pairs of suppliers and retailers in Taiwan were studied with each pair serving as a unit of analysis. In each case, data pertaining to eight relationship variables critical to collaboration between supplier and retailer were collected and analyzed. A comprehensive supplier-retailer relationship model is developed with five specific research positions: supplier-retailer business relationship (interdependence, intensity, trust) affects long-term orientation; supplier-retailer business relationship affects supply chain architecture (information sharing, inventory system, information technology capabilities, coordination structure); long-term orientation affects supply chain architecture; supply chain architecture affects the level of supplier-retailer collaboration; and supplier-retailer collaboration enhances supplier-retailer performance. Findings - Overall, with the exception of duration, all variables are found to be critical to supplier-retailer collaboration. It is the intensity, as opposed to the duration, of the relationship that influences the retailer-supplier relationship. Originality/value - The proposed model demonstrates how eight critical social and technical variables are directly and/or indirectly related. This knowledge will enable the management of supplier-retailer networks to produce better supply chain collaboration and performance. © Emerald Group Publishing Limited.",Case studies; Retailers; Retailing; Suppliers; Supply chain management,2-s2.0-31644442695
Kim J.; Rogers K.J.,"Kim, Jinho (57191682744); Rogers, K.J. (23990336500)",2005,International Journal of Physical Distribution and Logistics Management,10.1108/09600030510615815,https://www.scopus.com/inward/record.uri?eid=2-s2.0-24044500315&doi=10.1108%2f09600030510615815&partnerID=40&md5=9a3e5a85cb9eadb724df6c3dfbc70b5d,"Purpose - This paper aims to propose a framework for building a flexible supply chain business model using an object-oriented approach. Design/methodology/approach - The proposed modeling framework has used the de facto object-oriented modeling standard, Unified Modeling Language (UML), for building a supply chain model. To compensate for the potential weakness of the pure object-oriented model and UML, the framework integrates business rules with its model. Findings - This paper provides information about several sources, which are the bases of modeling a supply chain. The paper regards a supply chain as five view models with four business domains and each domain consists of functions, resources, processes, interactions and business rules. Research limitations/implications - A typical manufacturing supply chain is considered as a target system to apply this design methodology. The paper does not handle a real case study as an application example. Originality/value - This paper newly added the category of ""Business Process Reengineering (BPR)-driven"" models to the traditional taxonomy of supply chain models and proposed an object-oriented business model (OOBM) for a supply chain as one of the BPR-driven models. It is hoped that this modeling approach is highly usable and adds value to an analyst, practitioner, and designer in the field of supply chain. © Emerald Group Publishing Limited.",Flexibility; Object-oriented methods; Supply chain management; Uncertainty management,2-s2.0-24044500315
Laurie B.A.E.; Roberts S.A.,"Laurie, Bruce A.E. (25723402900); Roberts, Stephen A. (59281963400)",2009,Aslib Proceedings: New Information Perspectives,10.1108/00012530810924320,https://www.scopus.com/inward/record.uri?eid=2-s2.0-57049148466&doi=10.1108%2f00012530810924320&partnerID=40&md5=f482a23f03b1ec9d66f6c30137f7db57,"Purpose - This paper aims to provide a reflection on the issue of convergence of information systems and information management using a historical perspective and the experiences of two practitioners from different disciplines working together to deliver first degree and Master's teaching in this area. Design/methodology/approach - The paper situates the teaching of business strategy and information strategy in a historical context and combines this with a reflection on teaching the subject in practice. Findings - The paper finds that there is a need for exchange of perspectives and skills between information science and information management students which can be mutually beneficial and add value to their skill set. Practical implications - In terms of curriculum design for information professional education, information systems students need a strong background in the business and user environment to leverage the technologies for business value. Originality/value - The paper presents a case study of practice with a commentary on the dynamics of teaching the theme. © Emerald Group Publishing Limited.",Information systems; Management strategy; Professional education; United Kingdom; Universities,2-s2.0-57049148466
Giaglis G.M.; Hlupic V.; De Vreede G.-J.; Verbraeck A.,"Giaglis, George M. (6701318844); Hlupic, Vlatka (6701789991); De Vreede, Gert-Jan (8972593200); Verbraeck, Alexander (6603698259)",2005,Business Process Management Journal,10.1108/14637150510619849,https://www.scopus.com/inward/record.uri?eid=2-s2.0-25444509521&doi=10.1108%2f14637150510619849&partnerID=40&md5=ce27b1d963d85e31563932beaf605120,"Purpose - This paper investigates the potential of dynamic process modelling as an approach for addressing the problem of information systems (ISs) evaluation in the context of organisational change. Design/methodology/approach - A real-life case study is discussed, showing how dynamic simulation models that incorporate the effects of a proposed IS on existing business processes can help analysts and decision makers arrive at more informed choices for system design and evaluation. Findings - Based on the case findings, we postulate that the design and implementation of organisational systems could be augmented by the development of dynamic process models depicting business operations before and after the introduction of an IS, and the subsequent experimentation with such models to achieve maximum fit between organisational needs and system capabilities. Research limitations/implications - The study findings imply that dynamic process modelling may be of help in the endeavour of developing ISs that are aligned with the overall business strategy and objectives. Originality/value - Shows how dynamic simulation models that incorporate the effects of a proposed IS on existing business processes can help analysts and decision makers arrive at more informed choices for system design and evaluation. © Emerald Group Publishing Limited.",Information systems; Modelling; Process management; Simulation,2-s2.0-25444509521
Holsapple C.W.,"Holsapple, Clyde W. (7006047349)",2005,Journal of Knowledge Management,10.1108/13673270510582956,https://www.scopus.com/inward/record.uri?eid=2-s2.0-19944424797&doi=10.1108%2f13673270510582956&partnerID=40&md5=2fa192bffb53cf911e7909f7ef3c6d85,"Purpose - This paper makes the case that modern knowledge management (KM) is inseparable from a consideration of technology. While recognizing that there are many non-technological facets to KM research and practice, it takes issue with the perspective proposed by some that knowledge management has little or nothing to do with technology. Similarly, the perspective that equates knowledge management with information management is challenged. Design/methodology/approach - The research method involves an analysis of the contrasting perspectives to show that each has blind spots that obscure a clear vision of the relationship between computer-based technology and knowledge management. Building on the ideas of Newell, van Lohuizen, and others, the research advances an alternative perspective to overcome limitations in the other two. Findings - The KM perspective introduced here neither dismisses technology nor identifies with it. From this perspective, this paper develops the contention that modern KM has been tremendously enriched by advances in computer-based technology (CBT), discussing several specific examples. Moreover, this paper concludes that CBT needs to be grounded in a clear, deep consideration of knowledge management. Research limitations/implications - As this is a relatively new perspective, the full extent of its utility will unfold over time as it is adopted, used, and extended. KM researchers can adopt this perspective to guide the conception and design their research projects. Moreover, several implications for business computing systems researchers are outlined. Practical implications - The new perspective offers students and practitioners a middle-ground between two extremes for framing their understanding and observation of KM and CBT phenomena. Originality/value - Both research and practice are shaped by the conceptions that underlie them. The paper furnishes a fresh, inclusive conception of the relationship between KM and CBT.",Computers; Decision support systems; Electronic commerce; Knowledge management,2-s2.0-19944424797
Udin Z.M.; Khan M.K.; Zairi M.,"Udin, Zulkifli Mohamed (6506003960); Khan, Mohammad K. (14062041200); Zairi, Mohamed (7005404521)",2006,Business Process Management Journal,10.1108/14637150610668015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744786526&doi=10.1108%2f14637150610668015&partnerID=40&md5=66c9e174adb6f0e8c6a129ce3153facc,"Purpose - This paper presents issues associated with the needs of collaborative supply chain management (CSCM) and proposes a planning stage of a CSCM framework. Design/methodology/approach - The proposed planning stage of a CSCM framework incorporates issues of organisation profile, internal functional strategy and supplier-customer strategy. The gauging absence of prerequisites (GAP) analysis technique which embedded in the knowledge-based system is proposed in the planning stage to analyse the gap between the current and the desirable position (benchmark) for an effective implementation in organisation. Findings - The planning stage framework provides information specifically for designing a CSCM by focusing on the organisation capability and business processes and discussed the important issues in planning a CSCM for business organisations, specifically for a manufacturing environment. Research limitations/implications - Further research could be carried out to capitalise the framework for improving the CSCM. Practical implications - The proposed planning stage of a CSCM framework enables the chain members to identify key factors or issues for CSCM development. Originality/value - The new aspects of the proposed CSCM are firstly, the proposed planning stage model is supported by a KBS approach. Secondly, the use of GAP analysis technique and finally, the planning stage framework provides information and issues for the design stage of CSCM framework. © Emerald Group Publishing Limited.",Channel relationships; Gap analysis; Supply chain management,2-s2.0-33744786526
Lai F.; Wang J.; Hsieh C.-T.; Chen J.-C.,"Lai, Fujun (9279789500); Wang, Jian (36065477000); Hsieh, Chang-Tseh (7401724040); Chen, Jeng-Chung (16030306800)",2007,Industrial Management and Data Systems,10.1108/02635570710750453,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249095417&doi=10.1108%2f02635570710750453&partnerID=40&md5=c1f17c66304146750c1b1e6318a2e67e,"Purpose - This paper seeks to investigate and provide empirical evidence of the interrelationships among network externalities, e-business adoption and information asymmetry. Design/methodology/approach - A conceptual model was proposed and tested using 307 completed interview cases selected from a database of 2,075 Chinese international trading companies published by the Beijing Municipal Bureau of Commerce for this study. Findings - The results indicated that network externalities significantly influenced e-business adoption and information asymmetry, and e-business adoption influenced information asymmetry through information sharing and collection. A split sample analysis showed that cultural contexts significantly moderated the interrelationships among network externalities, e-business adoption, and information asymmetry. Research limitations/implications - Data for this study were collected only from mainland China, therefore, non-Chinese companies (foreign-owned) operating in China may have been influenced by Chinese cultures and some of them have been localizing their operations in China. The influences of network externalities on business performance and decision making remain unclear. In addition, data were collected from self-reported questionnaires, and thus may be subject to self-reporting bias. Future studies should use more objective measurements to reduce the potential for self-reporting bias. Practical implications - This study contributes significantly to the literature by providing empirical evidence on interrelationships among network externalities, e-business adoption, and information asymmetry. The findings in this study also provide valuable insights for managers to better understand the influence of network externalities on e-business adoption. Originality/value - This study contributes significantly to the literature by providing empirical evidence of the interrelationships among network externalities, e-business adoption, and information asymmetry. The findings also provide managers with valuable insight into better understanding of the nature of these interrelationships. © Emerald Group Publishing Limited.",China; Computer networks; Electronic commerce; Information management,2-s2.0-34249095417
Ballou R.H.,"Ballou, Ronald H. (7005423932)",2007,European Business Review,10.1108/09555340710760152,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250843407&doi=10.1108%2f09555340710760152&partnerID=40&md5=839f93278cb080620bf9fc1aa15066de,"Purpose - This paper traces the evolution of logistics and supply chain management (SCM) and projects the state of the field in the near term with the attendant challenges for those who must plan and control logistics/supply chain operations. Design/methodology/approach - Key events that created business logistics are noted, the views of the field leaders are identified and assessed, and research outcomes are compared as a basis for how logistics/SCM is viewed today. Findings - The scope of the field has broadened bringing new challenges for researchers and managers, but the broader scope was envisioned from its formation. Improvements in information technology and the just-in-time philosophy are the principal drivers for realizing the potential of boundary-spanning channel management. Research limitations/implications - The conclusions and projections are based on the author's interpretation of the events surrounding logistics and the supply chain as they have occurred over the last 45 years. Practical implications - Researchers and managers should find the projections of this paper valuable in defining their action agendas for improving logistics/supply chain operations. Principal among the challenges is the need for a boundary-spanning accounting system, for a mechanism of sharing the benefits of cooperation among supply chain members, for enhanced relationship skills of logistics/supply chain managers, and for improved methods of estimating the revenue contribution potential of the supply chain. Originality/value - The personal observations of the author lend a unique perspective as to how the logistics/supply chain has developed and what challenges face researchers and managers if the future potential of the field is to be realized. © Emerald Group Publishing Limited.",Distribution management; Supply chain management,2-s2.0-34250843407
Baray S.; Hameed S.; Badii A.,"Baray, Shahneel (23567489500); Hameed, Shafqat (23568221600); Badii, Atta (17341855100)",2008,Journal of Enterprise Information Management,10.1108/17410390810851390,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39449116958&doi=10.1108%2f17410390810851390&partnerID=40&md5=f13942a90cdcc4334061ab5ff2c122fb,"Purpose - This paper's purpose is to examine the impact of ERP adoption in one of the most traditional sectors, namely the printing industry, within a case study of five typical large-scale printing organisations set in the developing economy context of Pakistan. Design/methodology/approach - The research methodology and the analysis motivated an interpretive approach. The inductive reasoning approach has been used, since the aim was to find something new for the printing industry and to try to discover the advantages that ERP could bring about for the industry. In this research study, semi-structured interviews were conducted along with a number of visits to the targeted printing firms selected as being prototypical of the sector in this business environment. The research questions focused on identifying and exploring the benefits related to ERP for the printing industry, and why it was needed. Findings - The research shows that all the functional categories identified in the literature for ERP can be introduced in the printing industry. However, within each category, not all its modules can be adopted for this industry. The research has also shown that the benefits of some areas of ERP are still to be understood by the stakeholders. Practical implications - The enterprises under study now have an opportunity to look into ERP solutions as the basis also for first-mover advantage within their sector. Originality/value - There has been one previous attempt in Pakistan to restructure the largest printing press by introducing SAP, which failed due to lack of technical expertise and training support. This paper draws on the successful approaches deployed in ERP implementations in other sectors and examines the extent to which they can be adapted for the printing industry, for example which modules should be prioritised for integration and how to optimise their impact. © Emerald Group Publishing Limited.",Management information systems; Manufacturing resource planning; Pakistan; Printing industry,2-s2.0-39449116958
Bose R.; Luo X.,"Bose, Ranjit (7101769140); Luo, Xin (56473097100)",2012,International Journal of Accounting and Information Management,10.1108/18347641211201081,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857732679&doi=10.1108%2f18347641211201081&partnerID=40&md5=1c809a16377b45243b46232228c3ed7f,"Purpose - To better understand and assist business managers to deal with green IT adoption, this paper provides a step-by-step process management approach. Design/methodology/approach - By drawing on the process management to investigate the green IT adoption, the paper analyzes and discusses four different phases: plan, design, implement, and measure the performance of the process. Findings - The likelihood that companies will successfully adopt green IT initiatives depends on several organizational and environmental factors. The primary factor is the Champion Support. Lack of implementation barriers is another important factor among others. Research limitations/implications - By comparing behavioral and technological changes derived from green IT initiatives and unveiling possible factors associated with the adoption process, this paper provides an opportunity for academics to conduct applied research based on the issues discussed. Practical implications - The paper can be an extremely useful and practical source for top-level managers, particularly IT managers, to bring greener technologies and more environmentally responsible strategies and practices to their organizations. Originality/value - The paper contends that the green IT adoption process is an ensemble of four phases: plan, design, implement, and measure the performance of the process. This paper serves as a guide and offers practical measures in terms of understanding how green IT initiatives could be more effectively and efficiently adopted by organizations. © 2012 Emerald Group Publishing Limited. All rights reserved.",Change management; Green IT; Information strategy; Information systems; IT adoption; Process management; United States of America,2-s2.0-84857732679
Sharif A.M.,"Sharif, Amir M. (7005531355)",2005,Business Process Management Journal,10.1108/14637150510619911,https://www.scopus.com/inward/record.uri?eid=2-s2.0-25444470475&doi=10.1108%2f14637150510619911&partnerID=40&md5=b9d60ac5a0af75a58d41568cb78297f1,"Purpose - To consider whether business process and management information systems adequately generate ""complete"" models of the particular business environment. Design/methodology/approach - A conceptual discussion and approach are taken. Findings - Because of the flexibility and simplicity with which business system tools can be applied to modelling a system, it is quite possible to apply the wrong method to a given case; and thereby reach the wrong conclusions about the behaviour of that system. Considers that systems dynamics methods should be applied more openly in the BPM and MIS research fields. Tools and techniques available are under-rated in terms of their applicability and capability to provide novel representations of real-world situations. Originality/value - The paper is of value to all those involved with management information. © Emerald Group Publishing Limited.",Management information systems; Process management,2-s2.0-25444470475
MacDonnell M.; Clegg B.,"MacDonnell, Michael (15846089100); Clegg, Ben (15831173900)",2007,Journal of Manufacturing Technology Management,10.1108/17410380710722863,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846964204&doi=10.1108%2f17410380710722863&partnerID=40&md5=a98cc971c88bedfff89817ccfd5cd1bf,"Purpose - To develop a systems strategy for supply chain management in aerospace maintenance, repair and overhaul (MRO). Design/methodology/approach - A standard systems development methodology has been followed to produce a process model (i.e. the AMSCR model); an information model (i.e. business rules) and a computerised information management capability (i.e. automated optimisation). Findings - The proof of concept for this web-based MRO supply chain system has been established through collaboration with a sample of the different types of supply chain members. The proven benefits comprise new potential to minimise the stock holding costs of the whole supply chain whilst also minimising non-flying time of the aircraft that the supply chain supports. Research limitations/implications - The scale of change needed to successfully model and automate the supply chain is vast. This research is a limited-scale experiment intended to show the power of process analysis and automation, coupled with strategic use of management science techniques, to derive tangible business benefit. Practical implications - This type of system is now vital in an industry that has continuously decreasing profit margins; which in turn means pressure to reduce servicing times and increase the mean time between them. Originality/value - Original work has been conducted at several levels: process, information and automation. The proof-of-concept system has been applied to an aircraft MRO supply chain. This is an area of research that has been neglected, and as a result is not well served by current systems solutions. © Emerald Group Publishing Limited.",Aerospace industry; Inventory; Maintenance; Supply chain management,2-s2.0-33846964204
Hervani A.A.; Helms M.M.; Sarkis J.,"Hervani, Aref A. (8685553200); Helms, Marilyn M. (7004449066); Sarkis, Joseph (57194726123)",2005,Benchmarking,10.1108/14635770510609015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-22944491753&doi=10.1108%2f14635770510609015&partnerID=40&md5=006c68c1272d7c6b67252c37cba4d54b,"Purpose - To introduce and provide an overview of the various issues related to environmental (green) supply chain management performance measurement. Design/methodology/approach - The work relies on experiences, case studies and other literature related to performance measurement in environmental supply chains. It seeks to integrate works in supply chain management, environmental management, and performance management into one framework. A systems framework forms the discussion outline with a focus on controls/pressures, inputs, tools, and outputs as major categories for evaluation and review. Findings - Provides an integrative framework for study, design and evaluation of green supply chain management performance tools. The findings also identify a number of issues that need to still be addressed. Research limitations/implications - We have only one design of the issues in which numerous categorizations could be provided. There is limited research in this area and new and current models/developments can provide additional insight. Implications of the work is that these gaps exist and that significantly more work needs to be completed in this field. Practical implications - A very useful source of information for practitioners that seek to implement these systems within and between organizations. Also, the paper provides numerous areas which researchers could complete additional research and develop research agendas. Originality/value - This paper provides some of the very first insights into development of a green supply chain management performance measurement system. Typically performance measurement systems are internally and business focused, we expand on these issues by considering inter-organizational and environmental issues within a business context. © Emerald Group Publishing Limited.",Environmental management; Performance measurement (quality); Supply chain management,2-s2.0-22944491753
Brown W.; Nasuti F.,"Brown, William (55472677300); Nasuti, Frank (57197234971)",2005,Information Management and Computer Security,10.1108/09685220510614434,https://www.scopus.com/inward/record.uri?eid=2-s2.0-24144475007&doi=10.1108%2f09685220510614434&partnerID=40&md5=f7da1f0e0a4cab1e03413f2a572924e4,"Purpose - To provide background for senior and middle management in information technology organizations who may be in the implementation phase of compliance for Sarbanes-Oxley (SOX). As the information technology (IT) organization looks forward to additional compliance or other IT control frameworks such as COBIT, the paper can help construct a roadmap. Other audiences include senior management, accountants, internal auditors, and academics who may wish to evaluate the impact of SOX on the information technology organization. Design/methodology/approach - SOX is surveyed to understand the four major compliance areas that must be supported in the IT organization. Recently published works are integrated into an evaluation of enterprise resource planning (ERP) research to identity several ongoing themes that point to practical advice for implementing SOX. The private sector of US business is saturated with ERP applications and provides a useful benchmark of what to expect with SOX compliance. The sections of this report include: SOX and IT governance; ERP systems: Recurring themes; after the initial implementation of SOX; frameworks to support SOX compliance; IT governance and SOX: Where we go from here; to best practice and competitive advantage; and conclusion. Findings - Competencies in several related core disciplines including project management, change management, and software integration should be the top priority for SOX implementation. Enterprise architecting and related areas such as security and outsourcing can be managed more effectively with the appropriate competencies. Research limitations/implications - The authors' observations are based on several research reports but are not exhaustive, and are not specific to a particular industry. Originality/value - The content is a very useful source of information for senior management, IT management, accountants, auditors, and academics to understand the impact of SOX on the IT organization and how to develop a roadmap to respond. © Emerald Group Publishing Limited.",Communications technologies; Manufacturing resource planning,2-s2.0-24144475007
Smith A.D.; Clark J.S.,"Smith, Alan D. (7406757527); Clark, John S. (8863216800)",2005,Online Information Review,10.1108/14684520510628909,https://www.scopus.com/inward/record.uri?eid=2-s2.0-26444508449&doi=10.1108%2f14684520510628909&partnerID=40&md5=d5dceeab8f24c4f771fc5f368498a821,"Purpose - To provide practitioners of information management with an overview and framework to explore the various controversies associated with the methods of traditional methods of voting with electronically enhanced voting via the internet (I-voting). The current paper is centered on the assumption that I-voting is the next logical step in applying online information-gathering and retrieval technologies to the field of e-government. Design/methodology/approach - A review of the applied literature on electronically enhanced voting methods with potentials associated with internet voting, as well as from practical experience, resulted in a basic model for discussion of the emergent nature of I-voting. Findings - I-voting would reduce the cost for staffing polling stations, and also the funds needed to pay for voting machines. I-voting could also reduce the number of errors made by both the voters and the electoral administrators, and allow for easier adoption of uniform standards in the ballot format, since it could be transmitted via the internet from a central election agency to all local and regional polling places. Bridging the digital divide and internet security issues may be the most important barriers that must be overcome if I-voting becomes a viable option in the USA. Research limitations/implications - It may be years, if ever, before a truly secure, relatively risk-free internet service, such as I-voting, is developed. However, despite the controversies associated with election fraud, the numerous current voting systems that are in place suffer from the same problems associated with online informational exchanges; but, for the most part, nations still conduct their businesses and the political systems are still relatively stable. Practical implications - Owing to recent voting débcles in the USA, the public is demanding a more reliable and secure method of voting. Currently, many nations are moving more toward electronically enhanced voting methods with the long-term goal being internet voting. Unfortunately, there are heated debates about the pros and cons of handing over the right to vote, using a system that is prone to security risks from outside sources. Originality/value - In the short term, there should be increased interest in establishing national and international standards for testing and certification of electronic and I-voting systems and their IT-infrastructure. It is a basic premise of the present study that voting online increases voter participation, which can only be viewed in a positive light. © Emerald Group Publishing Limited.",Data security; Elections; Electoral systems; Internet; United States of America,2-s2.0-26444508449
Sharp P.,"Sharp, Peter (36923280400)",2006,Journal of Knowledge Management,10.1108/13673270610709242,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750732303&doi=10.1108%2f13673270610709242&partnerID=40&md5=77f52ae0faca404ad3a537ec3a30d486,"Purpose - Within knowledge management (KM) there is a need to develop KM methods that help prioritise requirements and assist in information systems (IS) development strategy. This paper aims to present MaKE™, a KM method that is designed to address this need. Design/methodology/approach - MaKE was developed using an action research approach. Findings - Organisations face a number of challenges in KM. MaKE addresses a number of them, including how to: align organisational performance and IT expenditure; adopt a sensible balance between IT and human involvement; address problems that stem from top-down models of information strategy; assist in business innovation; address redefined value chain issues in the web technology world; realise the significance of the virtual and intangible as well as the physical; create and apply new knowledge as well as be effective in the ongoing renewal of existing knowledge; engage people in the paradigm shift away from industrial-economic thinking and towards a knowledge perspective; link business objectives with knowledge-sharing initiatives and technologies available to address them within a framework; and apply people-centred KM tools to a whole organisation or across organisations. Research limitations/implications - The main limitation is the amount of testing that has occurred to test the contribution of MaKE in relation to each of the challenges referred to above. Originality/value - There are many original concepts within MaKE. For example MaKE First Steps is the first KM process devised to assist in collaboratively defining knowledge in organisations.",Action research; Information systems; Knowledge management,2-s2.0-33750732303
Frye D.W.; Gulledge T.R.,"Frye, Douglas W. (16028624300); Gulledge, Thomas R. (7004024235)",2007,Industrial Management & Data Systems,10.1108/02635570710758707,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250857059&doi=10.1108%2f02635570710758707&partnerID=40&md5=c57c67d53617820dcb5f737ae0ac91d7,"Purpose Enterprise integration endeavors are complex because they compel an organization to understand how its cross-organizational business processes are enabled by multiple systems. For any large-scale implementation project, specific business process and system information is included in the enterprise-solution architecture. To understand the totality of any organization's business processes, managers must define and document all core and support processes. Design/methodology/approach The examples used in this paper are from large public sector organizations, but the underlying methodology and conceptual basis for the paper apply to any complex organization. Findings The main conclusion of this paper is that end-to-end (E2E) business process scenarios must be used for defining the requirements for any system implementation project in any organization. If the new system does not align with the E2E-business processes, then management requirements cannot be realized. We also note that E2E scenarios must be considered when implementing enterprise software in a non-enterprise environment. Originality/value The paper notes that E2E scenarios represent the requirements definition level for composite applications enabled in a service-oriented architecture (SOA). Traditional implementation methodologies that enable standard software modules (or integration scenarios across modules) are not effective in non-enterprise environments. © 2007, Emerald Group Publishing Limited",Business enterprise; Control systems; Process management,2-s2.0-34250857059
Bach C.; Zhang J.; Belardo S.,"Bach, Christian (26666579200); Zhang, Jing (8966346200); Belardo, Salvatore (56160647600)",2009,Management Research News,10.1108/01409170911006867,https://www.scopus.com/inward/record.uri?eid=2-s2.0-71949109070&doi=10.1108%2f01409170911006867&partnerID=40&md5=12edc5ff4dc07d7764ad25106077231b,"Purpose The paper aims to demonstrate the usefulness of the intellectual bandwidth model (IB model) and expand its basic foundation to the bioscience industry. Design/methodology/approach A case study of a real work example from the bioscience industry is presented. Findings The study discusses an enduser information system and reveals that the information assimilation dimension can be meaningfully extended, adding automated utilization and implementation. Research limitations/implications The vertical research approach does not provide certainty that the case is truly representative. Practical implications Practical implications of the study include having a useful management tool to plan solutions for complex business problems and investment decisions. Originality/value The extension of the IB model is useful to practitioners and organizations seeking to manage scientific networks in knowledgeintensive and complex collaborative environments. © 2009, Emerald Group Publishing Limited",HIV; Information systems; Life sciences,2-s2.0-71949109070
Ryan C.; Mellett H.; Yan Jun Liu L.; Mitchell F.; Robinson J.,"Ryan, Christine (24077629800); Mellett, Howard (6603352576); Yan Jun Liu, Lana (7405258515); Mitchell, Falconer (7102937947); Robinson, John (55690107200)",2008,Journal of Accounting & Organizational Change,10.1108/18325910810898089,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992929405&doi=10.1108%2f18325910810898089&partnerID=40&md5=61438fa655d9b6bb2e3dde8b4867a4ec,"Purpose The purpose of this paper is to explore the adoption of a time-based activity-based costing (ABC) information system in resource planning (ABP) in the Crown Prosecution Service (CPS) of England and Wales, a public service organisation in the United Kingdom, for the period of 2000-2005. The aims of the study are to provide a technical review of the ABP application and to explore roles of the ABP system in achieving a “fairer” internal resource allocation and an improved understanding of business processes. Design/methodology/approach The CPS's experience of adopting an ABP system is explained through the use of a case study involving interviews, observations, work shadowing and archival data over a period of six years, 2000-2005. The longitudinal nature of the study has enabled the researchers to align the outcome of ABP adoption with concurrent organisational changes. Findings The study reveals that the growing understanding of the intrinsic links between business processes and the ABP information and its rationale, which remains unchanged throughout various phases of organisational changes, has promoted a sense of stability amongst CPS staff members. Practical implications This study provides an in-depth understanding of the practical use of ABP and its evolving roles in the face of the changing organisational environment. Originality/value This research discusses the prerequisite of the ABP system, a time-based ABC system, and the evolving roles of ABP from a cost-effective planning tool to a stability mechanism in face of constant organisational changes. This experience is invaluable to companies and practitioners seeking to implement a cost-effective planning tool. © 2008, Emerald Group Publishing Limited",Activity based costs; Activity based management; Information systems; Legal profession; Public sector organisations; United Kingdom,2-s2.0-84992929405
"Riley R.A., Jr.; Franke Kleist V.","Riley, Richard A. (7201915774); Franke Kleist, Virginia (6506320114)",2005,Information Management & Computer Security,10.1108/09685220510589280,https://www.scopus.com/inward/record.uri?eid=2-s2.0-18144405742&doi=10.1108%2f09685220510589280&partnerID=40&md5=e5027f71017afa46ea3e3152b327c80b,"Purpose This paper aims to assist readers to develop a compelling business case, including quantifiable and non-quantifiable costs and benefits, for the deployment of biometric technologies in information systems to enhance corporate security for access control, identification and verification applications. Design/methodology/approach The paper reviews the strengths and weaknesses of leading biometric technologies, while commenting on their practical applicability in real world implementations. In addition, the paper develops a process for ensuring that the best biometric applications are chosen, considering both the technology and related business issues. Findings The paper suggests that biometrics must be carefully selected to achieve a good fit to the security problem, giving examples of how a good fit might be evaluated by the user. The one-time and recurring charges associated with the typical biometric implementation are evaluated, arguing that these costs must be offset by a formal risk evaluation. The paper presents a user's guide for sensible implementation evaluations. Finally, the paper emphasizes that the use of biometrics in systems security implementations is one tool among many, and must thus be viewed as only part of an overall information security management infrastructure. Originality/value In order to select biometric technologies, buyers must choose solutions to business problems, solutions that demonstrate that the biometric makes sense from a cost-benefit and business perspective. This paper, in a step-by-step manner, walks readers through the decision-making process and assists them in making compelling business arguments for biometric applications. © 2005, Emerald Group Publishing Limited",Business analysis; Data security; Identification; Product technology,2-s2.0-18144405742
